"","ï..GEM.plot.code","Site.Name","X","Forestplots.Code","Plot.Name","Country","Region","Continent","Longitude","Latitude","Elevation..m.","Plot.Size..ha.","Biome","Anthropogenic.Effects","Faunal.status","NPP.Measures","Respiration","Traits","Monitoring.Start.Date","Monitoring.End.Date","Traits.Dates","Notes","Key.Personnel","Key.Reference","Funders","GEM.supported","wtd","rdpth","slop","asp","ups_area","vwc_mean","vwc_sd","Se_mean","Se_sd","alpha_mean","alpha_sd","aet","pet","ro","cond","perc","MAP_mean","MAP_sd","MAT_mean","MAT_sd","VPD_mean","VPD_sd","aridity","SAT","FC","WP","AWC","Ksat"
"1","ANK-01","Ankasa",1,"ANK-01","Ankasa Upland 1","Ghana","West Africa","Africa",-2.69416076,5.26818081,114,1,"Tropical rainforst","Old-growth","Moderately intact","Y","Y","Y",2011,"Ongoing",2015,"Pleistocene refuge",NA,"Moore et al 2018",NA,"Y",25.870626449585,5.03547722590986,1.99650168418884,106.189208984375,0,0.173647438281303,0.0172410383572178,0.379521001827827,0.0376817315282434,0.630998066547513,0.0249531153196841,863.179209742102,1366.69293456045,0,35.0053748537215,48.7836939255968,2183.3286729347,548.338762057869,25.0205740807519,0.114074000998232,0.0994525988269667,0.108150809417887,0.625967565718553,0.293072358655011,0.130407845025781,0.0614193216123395,0.107704675643208,87.8649294653744
"2","ANK-02","Ankasa",2,"ANK-02","Ankasa Upland 2","Ghana","West Africa","Africa",-2.69553981,5.26894201,116,1,"Pleistocene refuge, moist forest, away from river","Old-growth","Moderately intact","Y","Y","N",2012,"Ongoing",NA,"Pleistocene refuge",NA,"Moore et al 2018",NA,"Y",25.870626449585,5.03547722590986,3.44226717948914,16.157341003418,53204.9881180525,0.173690362202037,0.0170989545767976,0.379614815647141,0.0373711955409449,0.631379697581076,0.0250459932845543,866.51346296405,1371.12489041594,0,33.9421975730577,83.8738212842672,2183.3286729347,548.338762057869,25.0205740807519,0.114074000998232,0.0994525988269667,0.108150809417887,0.627997473496722,0.293072358655011,0.130407845025781,0.0614193216123395,0.107704675643208,87.8649294653744
"3","ANK-03","Ankasa",3,"ANK-03","Ankasa Riverine","Ghana","West Africa","Africa",-2.69316179,5.27179411,86,1,"Pleistocene refuge, seasonally inundated riverine forest","Old-growth","Moderately intact","Y","Y","Y",2012,"Ongoing",2015,"Riverine forest, seasonally flooded",NA,"Moore et al 2018",NA,"Y",25.870626449585,5.03547722590986,0.755230665206909,124.99201965332,638457.772611022,0.309651607312927,0.0853363436013245,0.581384206006434,0.160222654093994,0.58315425938769,0.0386479476155781,805.330091053902,1378.17762953999,177.206915412449,32.6469674707408,140.608702965351,2183.3286729347,548.338762057869,25.0205740807519,0.114074000998232,0.0994525988269667,0.108150809417887,0.631227742586061,0.517388707215672,0.252316780135652,0.103204098491935,0.153499775436489,115.597773574052
"4","BOB-01","Bobiri",16,"BOB-01","Bobiri SNR","Ghana","West Africa","Africa",-1.307755,6.691043,268,1,"Semi-deciduous, probably recovering from 200 year old agriculture","Reduced impact logging: 50 year post-logging","Defaunated","Y","Y","N",2012,"Ongoing",NA,"Forest edge",NA,NA,NA,"Y",23.9106616973877,6.01205462729843,0.403365671634674,302.47119140625,53070.5990867317,0.288372337219608,0.0321282066409015,0.580031372966182,0.064622591710909,0.655882525186803,0.0259897760791537,951.068757316567,1448.61050503045,0,34.6668269070986,12.8065095499246,1297.79711051025,96.8098407425074,26.0488745476664,0.3205378478252,0.465911728782127,0.290293354200038,1.11620722014161,0.453959142302244,0.216694887409141,0.0965319536483257,0.131599993881853,96.3267112258532
"5","BOB-02","Bobiri",19,"BOB-02","Bobiri Y53","Ghana","West Africa","Africa",-1.307445,6.704415,276,1,"Semi-deciduous, probably recovering from 200 year old agriculture","Lightly logged 60 yrs ago","Defaunated","Y","Y","N",2012,"Ongoing",NA,NA,NA,NA,NA,"Y",16.4421939849854,16.4421939849854,2.01033353805542,179.118591308594,53069.0546960831,0.417000174631382,0.0453029066394429,0.786518985753357,0.0854474370741718,0.701849697507462,0.00534227461713846,1016.29420657572,1447.99599354098,70.2051037640757,34.9215982664103,156.903000734572,1297.79711051025,96.8098407425074,26.0488745476664,0.3205378478252,0.465911728782127,0.290293354200038,1.11573371662978,0.484107354324848,0.276331910596783,0.141651261280341,0.147499499815204,60.1722477213719
"6","BOB-04","Bobiri",15,"BOB-04","Bobiri Y10","Ghana","West Africa","Africa",-1.31745,6.690865,279,1,"Semi-deciduous, probably recovering from 200 year old agriculture","Reduced impact logging: 10+ year post-logging","Defaunated","Y","Y","N",2012,"Ongoing",NA,NA,NA,NA,NA,"Y",13.2538547515869,13.2538547515869,1.53344738483429,228.270492553711,6899177.88127512,0.224479216594331,0.0245609105920828,0.468110983242592,0.0512173562480422,0.549429011382734,0.0122020240395081,801.401746263496,1457.90993358679,0,32.9740173191232,76.7296941356385,1297.79711051025,96.8098407425074,26.0488745476664,0.3205378478252,0.465911728782127,0.290293354200038,1.12337276896355,0.475309560145621,0.18870641186767,0.0663525937480777,0.12344351617961,145.43367619085
"7","KOG-02","Kogyae",20,"KOG-02","Forest 1","Ghana","West Africa","Africa",-1.149953,7.262316,230.25,1,"Forest-savanna transition","Burns every decade,","Some megafauna suchas buffalo","Y","Y","N",2012,"Ongoing",NA,NA,NA,NA,NA,"Y",45.4596138000488,1.70901045243005,1.09715723991394,49.5739212036133,53007.646435827,0.174784830183098,0.0297335223284183,0.338699647234228,0.0576178923143192,0.401261480445502,0.0137185674150288,658.405740412884,1641.28107150385,0,47.1350367183716,272.100500171876,1327.49633555255,91.8609468793662,26.7556531082105,0.277136687506502,0.756212674102021,0.72679689873882,1.23637333493708,0.515886732365924,0.198492813847563,0.0573456107885868,0.141190966297446,205.62949614721
"8","KOG-03","Kogyae",23,"KOG-03","Forest 2","Ghana","West Africa","Africa",-1.156446,7.306792,196,1,"Forest-savanna transition","Burns every decade,","Some megafauna suchas buffalo","Y","Y","N",2002,"Ongoing",NA,NA,NA,NA,NA,"Y",13.4304218292236,3.20439459830629,1.23265027999878,342.474426269531,53002.3693139255,0.171231952196277,0.0295784604213324,0.33181484768073,0.0573174119283815,0.394356753157189,0.013263712832626,652.058328272027,1653.95758182252,0,44.4026580116029,293.359750944885,1327.49633555255,91.8609468793662,26.7556531082105,0.277136687506502,0.756212674102021,0.72679689873882,1.24592252161215,0.515886732365924,0.198492813847563,0.0573456107885868,0.141190966297446,205.62949614721
"9","KOG-04","Kogyae",21,"KOG-04","Transition","Ghana","West Africa","Africa",-1.180213,7.302643,226.75,1,"Forest-savanna transition","Burns every decade,","Some megafauna suchas buffalo","Y","Y","N",2002,"Ongoing",NA,NA,NA,NA,NA,"Y",23.9860248565674,5.00495918211647,0.978226542472839,341.565063476562,159008.55125615,0.152259238943034,0.023640185767222,0.301315077903879,0.0467830028940163,0.366603545878182,0.0108249521746965,606.091814254937,1654.57024269381,0,44.4366587700106,192.82973056397,1327.49633555255,91.8609468793662,26.7556531082105,0.277136687506502,0.756212674102021,0.72679689873882,1.24638403766676,0.505159071581221,0.194701205910119,0.0597820598602976,0.134960978255028,188.793297085691
"10","KOG-05","Kogyae",22,"KOG-05","Savanna 1","Ghana","West Africa","Africa",-1.164546,7.30534,222.25,1,"Forest-savanna transition","Burns every decade,","Some megafauna suchas buffalo","Y","Y","N",2005,"Ongoing",NA,NA,NA,NA,NA,"Y",13.7263832092285,3.20439459830629,0.450443834066391,164.054595947266,5406266.2098636,0.134705789741884,0.0182034234119459,0.272343595692799,0.0368030638878054,0.338957853972248,0.0092895647610049,559.005025148008,1651.40732550939,0,45.1420517713025,71.7502726605616,1327.49633555255,91.8609468793662,26.7556531082105,0.277136687506502,0.756212674102021,0.72679689873882,1.24400141927474,0.494012774527324,0.190015654769999,0.0612776785950664,0.128895451906694,174.906253741759
"11","KOG-06","Kogyae",24,"KOG-06","Savanna 2","Ghana","West Africa","Africa",-1.156446,7.306792,196,1,"Forest-savanna transition","Burns every decade,","Some megafauna suchas buffalo","Y","Y","N",2005,"Ongoing",NA,NA,NA,NA,NA,"Y",13.4304218292236,3.20439459830629,1.23265027999878,342.474426269531,53002.3693139255,0.129938091644713,0.0184232314177496,0.262704425428112,0.0372474642567676,0.328236300053743,0.00896282292635755,542.193273751263,1653.95758182252,0,44.4026580116029,175.122139810234,1327.49633555255,91.8609468793662,26.7556531082105,0.277136687506502,0.756212674102021,0.72679689873882,1.24592252161215,0.494463753743789,0.19018911812059,0.0613336183620209,0.128895451906694,174.906253741759
